iter	Passed	Remaining
900	2207	242
901	2209	240
902	2211	237
903	2213	235
904	2215	232
905	2217	230
906	2219	227
907	2221	225
908	2224	222
909	2226	220
910	2228	217
911	2230	215
912	2232	212
913	2234	210
914	2237	207
915	2239	205
916	2241	202
917	2243	200
918	2245	197
919	2247	195
920	2249	192
921	2251	190
922	2254	188
923	2255	185
924	2258	183
925	2260	180
926	2262	178
927	2264	175
928	2266	173
929	2269	170
930	2271	168
931	2273	165
932	2275	163
933	2277	160
934	2279	158
935	2281	155
936	2283	153
937	2285	151
938	2287	148
939	2289	146
940	2291	143
941	2293	141
942	2295	138
943	2297	136
944	2299	133
945	2302	131
946	2304	128
947	2306	126
948	2309	124
949	2311	121
950	2313	119
951	2315	116
952	2317	114
953	2319	111
954	2321	109
955	2324	106
956	2326	104
957	2328	102
958	2329	99
959	2332	97
960	2334	94
961	2336	92
962	2338	89
963	2340	87
964	2342	84
965	2344	82
966	2347	80
967	2349	77
968	2351	75
969	2353	72
970	2355	70
971	2357	67
972	2359	65
973	2362	63
974	2364	60
975	2366	58
976	2369	55
977	2371	53
978	2373	50
979	2375	48
980	2377	46
981	2379	43
982	2381	41
983	2383	38
984	2385	36
985	2387	33
986	2389	31
987	2391	29
988	2393	26
989	2395	24
990	2398	21
991	2400	19
992	2402	16
993	2404	14
994	2406	12
995	2408	9
996	2410	7
997	2412	4
998	2414	2
999	2417	0
